Title,Publication Year,Journal,Authors
Informatics and nursing: Opportunities and challenges: Fifth edition,2015,Informatics and Nursing: Opportunities and Challenges: Fifth Edition,
Policy implications for third-tier countries considering ACTD programs: South Korea as a case study,2015,Technology in Society,
Critical Perspectives on the Crisis of Global Governance: Reimagining the Future,2015,Critical Perspectives on the Crisis of Global Governance: Reimagining the Future,
"PERILOUS POWER: THE MIDDLE EAST and U.S. FOREIGN POLICY: Dialogues on Terror, Democracy, War, and Justice",2015,"Perilous Power: The Middle East and U.S. Foreign Policy: Dialogues on Terror, Democracy, War, and Justice",
Empire and inequality: America and the world since 9/11,2015,Empire and Inequality: America and the World Since 9/11,
"Do ""commercial"" space companies exist? - Or-toward an etic definition of space industry actors",2015,"Proceedings of the International Astronautical Congress, IAC",
Blackout and now? Network centric warfare in an anti-access area-denial theatre,2015,"International Conference on Cyber Conflict, CYCON",
The ethical use of outer space,2015,Ethical Engineering for International Development and Environmental Sustainability,
Seizing the high ground? The dubious utility of space weapons,2015,"Commercial Space Exploration: Ethics, Policy and Governance",
The symbolic politics of ballistic missile defense: Seeking the perfect defense in an imperfect world,2015,Defense and Security Analysis,
Pathways to exploration: Rationales and approaches for a U.S. Program of Human Space Exploration,2014,Pathways to Exploration: Rationales and Approaches for a U.S. Program of Human Space Exploration,
Why mars: NASA and the politics of space exploration,2014,Why Mars: NASA and the Politics of Space Exploration,
Technical and programmatic prospects for human space exploration 2015-2030,2014,"Proceedings of the International Astronautical Congress, IAC",
Command-and-control: Alternative futures of geoengineering in an age of global weirding,2014,Futures,
"US defense politics: The origins of security policy, second edition",2013,"US Defense Politics: The Origins of Security Policy, Second Edition",
Earthmasters: The dawn of the age of climate engineering,2013,Earthmasters: The Dawn of the Age of Climate Engineering,
Democracy in retreat: The revolt of the middle class and the worldwide decline of representative government,2013,Democracy in Retreat: The Revolt of the Middle Class and the Worldwide Decline of Representative Government,
Space debris: Conjunction opportunities and opportunities for international cooperation,2013,Science and Public Policy,
"Global climate change, geo-engineering and human health",2013,Medical Journal of Australia,
"Space superiority, down to the nanosecond: Why the global positioning system remains essential to modern warfare",2013,Air and Space Power Journal,
"Persuasion-Bargaining and Institutions in an Organized Anarchy: Clinton Administration Decisions on China, 1993-1994",2013,American Review of Public Administration,
"The National Security Exception, the Global Political Economy and Militarization",2013,The Marketing of War in the Age of Neo-Militarism,
US foreign policy in the post-cold War Era: Restraint versus assertiveness from George H. W. Bush to Barack Obama,2013,US Foreign Policy in the Post-Cold War Era: Restraint versus Assertiveness from George H. W. Bush to Barack Obama,
GPS declassified: From smart bombs to smartphones,2013,GPS Declassified: From Smart Bombs to Smartphones,
Transparency and American primacy in world politics,2013,Transparency and American Primacy in World Politics,
Islam and the securitisation of population policies: Muslim states and sustainability,2013,Islam and the Securitisation of Population Policies: Muslim States and Sustainability,
"Telemetry, tracking, and command (TT&amp;C)",2013,Handbook of Satellite Applications,
Strategic intelligence management: National security imperatives and information and communications technologies,2013,Strategic Intelligence Management: National Security Imperatives and Information and Communications Technologies,
The eagle eyes the dragon in space-A critique,2013,Space Policy,
Removing space debris through sequential captures and ejections,2013,"Journal of Guidance, Control, and Dynamics",
"Ideas, identities and internalization: Explaining securitizing moves",2013,Cooperation and Conflict,
Application of CID Server in decision support for command and control,2012,"2012 Military Communications and Information Systems Conference, MCC 2012",
Putting the 'classical' in neoclassical realism: Neoclassical realist theories and US expansion in the post-cold war,2012,International Relations,
Bridging the gap: Interdisciplinary insights into the securitization of poverty,2012,Discourse and Society,
The conceptual politics of democracy promotion,2012,The Conceptual Politics of Democracy Promotion,
Neoliberal Australia and US imperialism in East Asia,2012,Neoliberal Australia and US Imperialism in East Asia,
Informatics and nursing: Opportunities and challenges: Fourth edition,2012,Informatics and Nursing: Opportunities and Challenges: Fourth Edition,
Intelligence and Grand Strategy,2012,Orbis,
Heavenly ambitions: America's quest to dominate space,2011,Heavenly Ambitions: America's Quest to Dominate Space,
Transparency and American primacy in world politics,2011,Transparency and American Primacy in World Politics,
National Security Implications of Climate Change for U.S. Naval Forces,2011,National Security Implications of Climate Change for U.S. Naval Forces,
What's so extraordinary about rendition?,2011,International Journal of Human Rights,
The securitization of outer space: Challenges for arms control,2011,Contemporary Security Policy,
Globalization and military power in the Andes,2011,Globalization and Military Power in the Andes,
"Nuclear weapons, justice and the law",2011,"Nuclear Weapons, Justice and the Law",
Rapprochement between vietnam and the united states: A response,2010,Contemporary Southeast Asia,
"Exporting security: International engagement, security cooperation, and the changing face of the U.S. Military",2010,"Exporting Security: International Engagement, Security Cooperation, and the Changing Face of the U.S. Military",
Current status and recent developments of non-discriminatory principle in the 1986 UN principles on remote sensing,2010,"61st International Astronautical Congress 2010, IAC 2010",
New horizons: Coalition space operations,2010,Air and Space Power Journal,
No Higher Law: American Foreign Policy and the Western Hemisphere since 1776,2010,No Higher Law: American Foreign Policy and the Western Hemisphere since 1776,
Securitization Theory: How security problems emerge and dissolve,2010,Securitization Theory: How Security Problems Emerge and Dissolve,
Space law: A treatise,2009,Space Law: A Treatise,
Islam and the securitisation of population policies: Muslim states and sustainability,2009,Islam and the Securitisation of Population Policies: Muslim States and Sustainability,
Exploring the potential of massively multiplayer online games for informing construction design decisions,2009,"Association of Researchers in Construction Management, ARCOM 2009 - Proceedings of the 25th Annual Conference",
Response to global threats: Whose job is it?,2009,"60th International Astronautical Congress 2009, IAC 2009",
Intruder detection system architecture for an SOA-based C<sup>4</sup>I <sup>2</sup>SR system,2009,"Computation World: Future Computing, Service Computation, Adaptive, Content, Cognitive, Patterns, ComputationWorld 2009",
The multitude and its doppelgänger: An exploration of global smooth space,2009,ACME,
Improving site utilization planning through the use of interactive workspaces,2009,Building a Sustainable Future - Proceedings of the 2009 Construction Research Congress,
"NATO: The United States, transformation and the war in Afghanistan",2009,British Journal of Politics and International Relations,
Maritime security partnerships,2009,Maritime Security Partnerships,
The liberal roots of the American empire,2009,"Muslims in the West after 9/11: Religion, Politics and Law",
The evolution of nuclear nonproliferation institutions,2009,Cooperating for Peace and Security: Evolving Institutions and Arrangements in a Context of Changing U.S. Security Policy,
Securing Outer Space,2009,Securing Outer Space,
"51st International colloquium on the law of Outer Space (IISL) weaponisation of Outer Space in the light of the Outer Space treaty, part B Glasgow, 1 october 2008 Outer space: Arena for war or peace",2008,"International Astronautical Federation - 59th International Astronautical Congress 2008, IAC 2008",
Uncertainty characterization of orbital debris using the Extended Kalman filter,2008,Advances in the Astronautical Sciences,
Uncertainty characterization of orbital debris using simulated space surveillance network measurements,2008,Advances in the Astronautical Sciences,
Performance of a wireless unattended sensor network in a freshwater environment,2008,Proceedings of the Annual Hawaii International Conference on System Sciences,
A MEMS-based infrared emitter array for combat identification,2008,Proceedings of SPIE - The International Society for Optical Engineering,
Power and military effectiveness: The fallacy of democratic Triumphalism,2008,Power and Military Effectiveness: The Fallacy of Democratic Triumphalism,
The roots of American foreign policy and the American foreign political culture,2008,Uluslararasi Iliskiler,
Democracy or polyarchy? US-funded media developments in Afghanistan and Iraq post 9/11,2008,"Media, Culture and Society",
Use of service-oriented architecture in satellite interoperability,2007,"Proceedings of the 3rd International Conference on Recent Advances in Space Technologies, RAST 2007",
America's Liberal illiberalism the ideological origins of overreaction in U.S. Foreign Policy,2007,International Security,
"Beyond the gap: Relevance, fields of practice and the securitizing consequences of (democratic peace) research",2007,Journal of International Relations and Development,
Colliding worlds: Asteroid research and the legitimization of war in space,2007,Social Studies of Science,
The relative universality of human rights,2007,Human Rights Quarterly,
Dispute settlement in international space law: A multi-door courthouse for outer space,2007,Studies in Space Law,
Is operationally responsive space the future of access to space for the US Air Force?,2006,Air and Space Power Journal,
Ten propositions regarding space power the dawn of a space force,2006,Air and Space Power Journal,
A bridge too far?,2006,"Cyberwar, Netwar and the Revolution in Military Affairs",
Explaining the phenomenon of change in Indian foreign policy under the National Democratic Alliance Government,2006,Contemporary South Asia,
The Bush doctrine: A search for global hegemonic stability?,2006,Uluslararasi Iliskiler,
Using foresight methods to anticipate future threats: The case of disease management,2006,Health Care Management Review,
A two-sided optimization for theater ballistic missile defense,2005,Operations Research,
Beyond the axis of evil: Ballistic missiles in Iran's military thinking,2005,Security Dialogue,
Nonproliferation issues for weapons of mass destruction,2005,Nonproliferation Issues For Weapons of Mass Destruction,
Dead slow: Unmanned Aerial Vehicles loitering in battlespace,2005,"Bulletin of Science, Technology and Society",
"SPS v. PPS: Why military GPS applications require ""military"" GPS",2004,"Proceedings of the 17th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS 2004",
Military applications of information technologies,2004,Air and Space Power Journal,
"After the Third World? History, destiny and the fate of Third Worldism",2004,Third World Quarterly,
The battle for Asia: From decolonization to globalization,2003,The Battle for Asia: From Decolonization to Globalization,
"Orbital space plane: Past, present, and future",2003,AIAA\ICAS International Air and Space Symposium and Exposition: The Next 100 Years,
New Rules in Outer Space: Options and Scenarios,2003,Security Dialogue,
High-speed advanced sensors for bioterror weapons,2002,IEEE Engineering in Medicine and Biology Magazine,
High frequency flow control - Suppression of aero-optics in tactical directed energy beam propagation and the birth of a new model (Part I),2002,33rd Plasmadynamics and Lasers Conference,
Transatlantic turbulence: The Boeing-McDonnell Douglas merger and international competition policy,2001,Antitrust Law Journal,
Survey of Israeli Air Force line commander support for fatigue prevention initiatives,2001,Aviation Space and Environmental Medicine,
Secure interface for risk management services,2001,"Proceedings - 2nd International Workshop on User Interfaces to Data Intensive Systems, UIDIS 2001",
